updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	externalRuleEngine	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2026-05-30T23:47:29+0000	76.0	external_roslyn:CS1998	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	316dfa03-ab30-4601-8d80-21fc3b1f6b2f	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"El método asincrónico carece de operadores ""await"" y se ejecutará de forma sincrónica. Puede usar el operador 'await' para esperar llamadas API que no sean de bloqueo o 'await Task.Run(...)' para hacer tareas enlazadas a la CPU en un subproceso en segundo plano."	2026-05-29T04:07:50+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Pagos/CambiarEstadoPagoDialog.razor	false	{startLine=76.0, endLine=76.0, startOffset=23.0, endOffset=37.0}	0min	4969da7acce162abbe35a17a47be25fc	OPEN
2026-05-30T23:47:29+0000	47.0	external_roslyn:CS8602	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	fb0be8a3-1961-47a9-bfad-713eb6020c6e	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Desreferencia de una referencia posiblemente NULL.	2026-05-29T04:07:50+0000	false			Clinica-Santa-Monica:Clinica.WASM/Pages/Pagos/PagosPage.razor.cs	false	{startLine=47.0, endLine=47.0, startOffset=13.0, endOffset=19.0}	0min	c039e5ea03ea1b35990e10f12f0c5d54	OPEN
2026-05-30T23:47:29+0000	74.0	external_roslyn:CS1998	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	027c27fe-d19d-470c-9778-5408bfcbbae2	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"El método asincrónico carece de operadores ""await"" y se ejecutará de forma sincrónica. Puede usar el operador 'await' para esperar llamadas API que no sean de bloqueo o 'await Task.Run(...)' para hacer tareas enlazadas a la CPU en un subproceso en segundo plano."	2026-05-29T03:51:56+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Usuarios/CambiarEstadoUsuarioDialog.razor	false	{startLine=74.0, endLine=74.0, startOffset=23.0, endOffset=37.0}	0min	4969da7acce162abbe35a17a47be25fc	OPEN
2026-05-30T23:47:29+0000	88.0	external_roslyn:CS8602	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	56b234bd-6f9f-46a5-bd33-26ec3f387543	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Desreferencia de una referencia posiblemente NULL.	2026-05-29T03:51:56+0000	false			Clinica-Santa-Monica:Clinica.WASM/Pages/Usuarios/UsuariosPage.razor.cs	false	{startLine=88.0, endLine=88.0, startOffset=13.0, endOffset=19.0}	0min	60b72b5af7771bfd82c6dfca97943233	OPEN
2026-05-30T23:47:29+0000	77.0	external_roslyn:CS1998	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	5d031e7e-da99-4d1c-bda7-ec173011e576	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"El método asincrónico carece de operadores ""await"" y se ejecutará de forma sincrónica. Puede usar el operador 'await' para esperar llamadas API que no sean de bloqueo o 'await Task.Run(...)' para hacer tareas enlazadas a la CPU en un subproceso en segundo plano."	2026-05-29T03:33:36+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Pacientes/CambiarEstadoPacienteDialog.razor	false	{startLine=77.0, endLine=77.0, startOffset=25.0, endOffset=39.0}	0min	da859c8667771ed0b00d46da12a7c518	OPEN
2026-05-30T23:47:29+0000	-	external_roslyn:MUD0002	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	c65dd93b-22ba-484a-b751-0be22b871efc	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Illegal Attribute 'Align' on 'MudTh' using pattern 'LowerCase' source location '(525,16)-(525,76)'	2026-05-29T03:33:36+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Pacientes/PacientesTable.razor	false	-	0min	-	OPEN
2026-05-30T23:47:29+0000	168.0	external_roslyn:CS8602	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	4d7734ba-4aa6-4e6a-b213-ad57f5a5f568	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Desreferencia de una referencia posiblemente NULL.	2026-05-29T03:33:36+0000	false			Clinica-Santa-Monica:Clinica.WASM/Pages/Pacientes/PacientesPage.razor.cs	false	{startLine=168.0, endLine=168.0, startOffset=13.0, endOffset=19.0}	0min	50af3363d76ba79f7895b9d561881b5d	OPEN
2026-05-30T23:47:29+0000	-	external_roslyn:MUD0002	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	d0110fdc-6bc7-4133-b811-f25ea6b0baca	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Illegal Attribute 'Thickness' on 'MudProgressCircular' using pattern 'LowerCase' source location '(341,12)-(341,64)'	2026-05-29T03:03:44+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Auth/RequireAuth.razor	false	-	0min	-	OPEN
2026-05-30T23:47:29+0000	-	external_roslyn:MUD0002	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	b64357aa-a3d7-4c26-9c4f-8fa019ac682b	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Illegal Attribute 'Thickness' on 'MudProgressCircular' using pattern 'LowerCase' source location '(341,12)-(341,64)'	2026-05-29T03:03:44+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Auth/RequirePermission.razor	false	-	0min	-	OPEN
2026-05-30T23:47:29+0000	-	external_roslyn:MUD0002	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	4de56c89-8b60-4f92-a193-d5c0ce3e2e36	MAJOR		yukyuel@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Illegal Attribute '@bind-Value' on 'MudTextField' using pattern 'LowerCase' source location '(940,8)-(940,70)'	2026-05-29T02:42:27+0000	false			Clinica-Santa-Monica:Clinica.WASM/Components/Roles/RolEditForm.razor	false	-	0min	-	OPEN
