updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	externalRuleEngine	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2026-06-22T04:22:54+0000	75.0	csharpsquid:S1135	Clinica-Santa-Monica	0min	CODE_SMELL	COMPLETE		OPEN		MAIN	-	56d350dc-f2a3-4aaf-ada3-da341c68ce0e	INFO		paricahuak40@gmail.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	Complete the task associated to this 'TODO' comment.	2026-06-22T04:22:54+0000	false	"cwe / "		Clinica-Santa-Monica:Clinica.API/Controllers/FinanzasController.cs	false	{startLine=75.0, endLine=75.0, startOffset=77.0, endOffset=81.0}	0min	fa9f437cab8d978a6be1f585d9f32655	OPEN
2026-06-22T04:22:54+0000	201.0	csharpsquid:S1135	Clinica-Santa-Monica	0min	CODE_SMELL	COMPLETE		OPEN		MAIN	-	af8a32a2-c21c-41fc-a635-4b1908c706e8	INFO		paricahuak40@gmail.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	Complete the task associated to this 'TODO' comment.	2026-06-22T04:22:54+0000	false	"cwe / "		Clinica-Santa-Monica:Clinica.API/Controllers/FinanzasController.cs	false	{startLine=201.0, endLine=201.0, startOffset=78.0, endOffset=82.0}	0min	5aa4a3d8747a5a1b20133ce6b42b74f7	OPEN
2026-06-22T04:22:54+0000	119.0	csharpsquid:S2325	Clinica-Santa-Monica	5min	CODE_SMELL	CLEAR		OPEN		MAIN	-	1550d5ca-343b-4e3a-ae99-1c03e00f9215	MINOR		paricahuak40@gmail.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Make 'ObtenerIpReal' a static method.	2026-06-22T04:22:54+0000	false	"pitfall / "		Clinica-Santa-Monica:Clinica.API/Filters/AuditoriaAutomaticaFilter.cs	false	{startLine=119.0, endLine=119.0, startOffset=20.0, endOffset=33.0}	5min	bdce51c31f7849a631248acacec5fa5e	OPEN
2026-06-22T04:22:54+0000	123.0	csharpsquid:S6608	Clinica-Santa-Monica	5min	CODE_SMELL	EFFICIENT		OPEN		MAIN	-	5cf4787f-3f4b-4f39-9c19-5eef3a9ecc8f	MINOR		paricahuak40@gmail.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	"Indexing at 0 should be used instead of the ""Enumerable"" extension method ""First"""	2026-06-22T04:22:54+0000	false	"performance / "		Clinica-Santa-Monica:Clinica.API/Filters/AuditoriaAutomaticaFilter.cs	false	{startLine=123.0, endLine=123.0, startOffset=43.0, endOffset=48.0}	5min	a2e7bad4c0a9627cc86e8fed049b3c7c	OPEN
2026-06-23T02:26:07+0000	12.0	csharpsquid:S2325	Clinica-Santa-Monica	5min	CODE_SMELL	CLEAR		OPEN		MAIN	-	d420d4de-4a0b-4ba2-93f1-064b5bf783c4	MINOR		paricahuak40@gmail.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Make 'TasaIgvActiva' a static property.	2026-06-22T04:22:54+0000	false	"pitfall / "		Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs	false	{startLine=12.0, endLine=12.0, startOffset=20.0, endOffset=33.0}	5min	7f12aad133531913eaaf1958d472e32c	OPEN
2026-06-23T02:26:07+0000	12.0	external_roslyn:CA1822	Clinica-Santa-Monica	0min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	roslyn	dbb3360c-26bb-41ca-86ea-a1db53a59dcb	INFO		paricahuak40@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	"El miembro ""TasaIgvActiva"" no tiene acceso a los datos de la instancia y se puede marcar como static."	2026-06-22T04:22:54+0000	false			Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs	false	{startLine=12.0, endLine=12.0, startOffset=20.0, endOffset=33.0}	0min	7f12aad133531913eaaf1958d472e32c	OPEN
2026-06-23T02:26:07+0000	57.0	csharpsquid:S1192	Clinica-Santa-Monica	4min	CODE_SMELL	DISTINCT		OPEN	"{locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs, textRange={startLine=245.0, endLine=245.0, startOffset=32.0, endOffset=41.0}, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs, textRange={startLine=379.0, endLine=379.0, startOffset=47.0, endOffset=56.0}, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs, textRange={startLine=527.0, endLine=527.0, startOffset=32.0, endOffset=41.0}, msgFormattings=[]}]} / "	MAIN	-	03e22470-bd9e-4ce2-b143-c48ff5c61351	MINOR		paricahuak40@gmail.com	false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Define a constant instead of using this literal 'PREVIEW' 4 times.	2026-06-22T04:22:54+0000	false	"design / "		Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs	false	{startLine=57.0, endLine=57.0, startOffset=32.0, endOffset=41.0}	4min	3c9724daa404c8f76e13a4be837a0484	OPEN
2026-06-23T02:26:07+0000	761.0	csharpsquid:S4136	Clinica-Santa-Monica	1min	CODE_SMELL	FORMATTED		OPEN	"{locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs, textRange={startLine=892.0, endLine=892.0, startOffset=49.0, endOffset=70.0}, msg=Non-adjacent overload, msgFormattings=[]}]} / "	MAIN	-	37e8fad2-8af6-442e-9e5f-24341eed2c5d	MINOR		paricahuak40@gmail.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	All 'MapearAtencionPreview' method overloads should be adjacent.	2026-06-22T04:22:54+0000	false	"convention / "		Clinica-Santa-Monica:Clinica.API/Services/Imp/ComprobanteService.cs	false	{startLine=761.0, endLine=761.0, startOffset=49.0, endOffset=70.0}	1min	c24b3ac0c58cbd3de570ca0d8580ef79	OPEN
2026-06-22T04:22:54+0000	109.0	csharpsquid:S3776	Clinica-Santa-Monica	6min	CODE_SMELL	FOCUSED		OPEN	"{locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=113.0, endLine=113.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=118.0, endLine=118.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=122.0, endLine=122.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=144.0, endLine=144.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=147.0, endLine=147.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=151.0, endLine=151.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=154.0, endLine=154.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=161.0, endLine=161.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=173.0, endLine=173.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=173.0, endLine=173.0, startOffset=36.0, endOffset=38.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=175.0, endLine=175.0, startOffset=12.0, endOffset=19.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=178.0, endLine=178.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs, textRange={startLine=180.0, endLine=180.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / "	MAIN	-	d8cd4c78-da02-423d-a2c7-c8131d7644cb	CRITICAL		paricahuak40@gmail.com	false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.	2026-06-22T04:22:54+0000	false	"brain-overload / "		Clinica-Santa-Monica:Clinica.API/Services/Imp/DoctorService.cs	false	{startLine=109.0, endLine=109.0, startOffset=28.0, endOffset=42.0}	6min	06f99680e060b714ff7a0e1c2ea8ac94	OPEN
2026-06-22T04:22:54+0000	77.0	csharpsquid:S1192	Clinica-Santa-Monica	4min	CODE_SMELL	DISTINCT		OPEN	"{locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/FinanzasService.cs, textRange={startLine=225.0, endLine=225.0, startOffset=90.0, endOffset=99.0}, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/FinanzasService.cs, textRange={startLine=536.0, endLine=536.0, startOffset=81.0, endOffset=90.0}, msgFormattings=[]}]} / {locations=[{component=Clinica-Santa-Monica:Clinica.API/Services/Imp/FinanzasService.cs, textRange={startLine=635.0, endLine=635.0, startOffset=31.0, endOffset=40.0}, msgFormattings=[]}]} / "	MAIN	-	4ca4efc8-513a-4010-90f2-3c46ff8a0099	MINOR		paricahuak40@gmail.com	false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Define a constant instead of using this literal 'Parcial' 4 times.	2026-06-22T04:22:54+0000	false	"design / "		Clinica-Santa-Monica:Clinica.API/Services/Imp/FinanzasService.cs	false	{startLine=77.0, endLine=77.0, startOffset=78.0, endOffset=87.0}	4min	dc8a8d2090ef1d6b125397a1ab704d73	OPEN
